"Code","Département","Nom","Latitude","Longitude","Altitude"
"07117001","07","LABLACHERE DROME",44.461333,4.234833,265
"07117002","07","LABLACHERE",44.480833,4.208333,295
"07119001","07","LAC ISSARLES",44.822,4.0775,1056
"07128001","07","LALOUVESC",45.117833,4.535,1090
"07129001","07","LAMASTRE",44.990667,4.5895,367
"07131001","07","LANAS SYN",44.537167,4.368167,265
"07144001","07","LOUBARESSE",44.599833,4.049333,1220
"07153001","07","MAYRES",44.667167,4.113,579
"07154003","07","MAZAN  S.A.",44.743333,4.128333,1185
"07154005","07","MAZAN ABBAYE RAD",44.733833,4.083833,1240
"07159001","07","MIRABEL SA",44.5815,4.497333,275
"07161001","07","MONTPEZAT SA",44.715667,4.207,602
"07161002","07","MONTPEZAT",44.703333,4.229667,491
"07168001","07","ORGNAC AVEN",44.288333,4.421667,230
"07172002","07","PEAUGRES RAD",45.286167,4.705833,480
"07173001","07","PEREYRES",44.789,4.255333,952
"07185001","07","PREAUX SA",45.14,4.665,525
"07186002","07","PRIVAS",44.736667,4.601667,300
"07187001","07","CROIX MILLET",44.606333,4.241333,779
"07192001","07","ROCHEPAULE SA",45.081667,4.453333,1055
"07202001","07","SABLIERES",44.546667,4.09,400
"07202002","07","SABLIERES OARA",44.533,4.0725,540
"07204005","07","ST-AGREVE",45.012167,4.401,1072
"07204008","07","ST-AGREVE RAD",44.997833,4.368,1014
"07225001","07","ST-CLAIR S.A.",45.27,4.681667,420
"07228001","07","ST-DESIRAT SA",45.260333,4.783667,275
"07230002","07","ESCRINET SA",44.715333,4.4905,737
"07232001","07","ST-ETIENNE LUGDARES",44.651333,3.9485,1022
"07240001","07","ST-GEORGES BAIN",44.860333,4.8325,112
"07261001","07","ST-LAURENT PAPE",44.817833,4.746833,112
"07262001","07","ST-LAURENT BAIN",44.576833,3.936167,803
"07262006","07","ST LAURENT BAINS",44.584333,3.948667,912
"07265001","07","ST-MARCEL ANNONAY",45.296,4.642,494
"07265003","07","ST MARCEL ANNONAY- LES FILTRES",45.286167,4.637833,445
"07273001","07","ST-MAURICE IBIE",44.501333,4.481333,238
"07279001","07","ST-MONTAN",44.441833,4.636333,130
